Responsibility,Primary Contact: Haidee,Primary Contact: Hadi
Prepare and update training material: Operational protocol,X,
Train new MEG users and provide access to lab and booking instructions,X,
Budgeting,X,
Monthly report,X,
Risk assessment,X,
Usage and usage prediction,X,
"SOP, SOP emergency",X,
Elaborate consent forms template (with MEG guidelines),X,
Explanations and queries about the lab,X,
Maintain processing pipelines and provide MEG data analysis results,X,
Testing experiments and debugging,X,
Provide demo experiments in all libraries,X,
"Linen and caps inventory, ensure availability",X,
Keep MEG space clean and organised,X,X
Acquire MEG data when needed,X,
Ensure operational state of equipment,,X
Maintenance of the systems and troubleshooting,,X
"CTP requisition form, CBE, justification from faculty",X,X
New equipment technical specification,X,X
MEG demonstration,X,
